rank,Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier,score_size,score_industry,score_tier,score_data,lead_score,category,web_verdict,web_notes,us_contactability,hr_contacts
23,B3 Group,54,b3groupinc.com,,Virginia,Herndon,13241 Woodland Park Road #500,20171,IT Services and IT Consulting,2341501.0,https://www.linkedin.com/company/b3-group-inc,Tier 1,40,30,20.0,10,100.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"Acquired by Octo 2022, then IBM 2023",,
24,HR Director,63,www.practifi.com,,Illinois,,,60607,Technology Information and Internet,,https://www.linkedin.com/company/practifi/,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),GOOD,Record mislabeled — actually Practifi; 63 EE across Sydney/Chicago/London; fix CRM name,MEDIUM (founders/HQ in Sydney; Chicago office exists),
25,Digital Economist,84,thedigitaleconomist.com,,District of Columbia,Washington,906 D Street Northeast,20002,IT Services and IT Consulting,,https://www.linkedin.com/company/thedigitaleconomist,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),WEAK,Headcount inflated by unpaid fellows; real team likely <20,"MEDIUM (DC core team, but tiny)",
26,ClickSquared,90,clicksquared.com,,Massachusetts,Boston,,,Advertising Services,,https://www.linkedin.com/company/clicksquared-inc.,Tier 1,40,30,20.0,8,98.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Acquired by Zeta Interactive Jan 2014; 12+ years stale,,
27,Vault Insurance,237,vaultinsurance.com,,New York,,,,Insurance,,https://www.linkedin.com/company/vaultinsurance,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),STRONG,"~246 EE in all 50 states, profitable, PE-backed; textbook multi-state compliance pitch",HIGH (FL/NY leadership),NOT INDEXED - open via CEO/COO office
28,Credit Union of New Jersey,78,cunj.com,,New Jersey,Ewing,1301 Parkway Ave,,Financial Services,,https://www.linkedin.com/company/credit-union-of-new-jersey,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),WEAK,"Single-state, slow-growth, regulated; no triggers; nurture","HIGH (NJ, single state)",
29,Roots,147,roots.ai,,New York,,,,Software Development,,https://www.linkedin.com/company/roots-automation,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),STRONG,"Roots Automation/Bevaya; post-Series B scaling, mid-rebrand May 2026, hiring via Ashby",HIGH (NYC leadership),"YES - Jill Minch, Talent & People Ops; CFO Sunny Chen = buyer"
30,RMG Networks Holding Corporation,161,gokorbyt.com,,Texas,Addison,15301 Dallas Pkwy Ste 500,,Software Development,,https://www.linkedin.com/company/korbyt,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),GOOD,"Now Korbyt; new exec team, NFS acquisition, UK/UAE offices; Paylocity incumbent to displace",HIGH (Dallas leadership),"YES - Jim Brown, Dir People & Culture (verify); on Paylocity"
31,Fraunhofer USA,104,fraunhofer.org,,Michigan,East Lansing,44792 Helm St,48824,Research Services,,https://www.linkedin.com/company/fraunhofer-usa,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),,,,
32,Flex,164,www.flex.one,,Florida,Richmond,,,Financial Services,,https://www.linkedin.com/company/flex-super-app,Tier 1,40,30,20.0,8,98.0,A - Hot (contact first),,,,
33,Halozyme,96,elektrofi.com,,Massachusetts,Boston,,2210,Biotechnology,,https://www.linkedin.com/company/elektrofi,Tier 1,40,28,20.0,8,96.0,A - Hot (contact first),,,,
34,TotalTek,118,totaltek.com,,Florida,Appleton,221 W College Ave,54911,IT Services and IT Consulting,35662849.0,https://www.linkedin.com/company/totaltekinc/,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),STRONG,"Fast growth (~118→~186 EE), fully remote US workforce + offshore; US buy decision sits with President Brock Bauer in Appleton WI; ignore ZoomInfo $249M/Traversari data (conflated with unrelated Totaltek Ecuador)","HIGH (President Brock Bauer + corporate G&A in Appleton, WI; offshore staff are delivery only)","YES - CPO ""Nick A."" (verify) + Matt Gehrman, Recruiting Mgr (Appleton WI)"
35,Emory Impact Investing Group,126,emoryimpactinvesting.com,,Georgia,Atlanta,,,Financial Services,18071758.0,https://www.linkedin.com/company/emoryimpactinvestinggroup,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"Emory University student club — ""employees"" are unpaid student members",,
36,MK Marketing,125,mkmarketing.biz,,Florida,Stuart,3322 Southeast Gran Park Way,34997,Advertising Services,76860358.0,https://www.linkedin.com/company/mk-marketing-stuart,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,Actually ~5-person in-house marketing arm of MK Brown family office; 125 EE is data-provider inflation,"HIGH (FL family office, but tiny)",
37,DigitalSuits,70,digitalsuits.co,,Texas,Austin,2 Baikal's'kyi Ln,78701,IT System Custom Software Development,10940229.0,https://www.linkedin.com/company/digitalsuits,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"Ukraine-based dev shop (Kharkiv/Tallinn); US addresses are sales footprint only, negligible US payroll",,
38,Icode Technologies,62,icodetek.com,,Michigan,Farmington,,,Technology Information and Internet,89509007.0,https://www.linkedin.com/company/icode-tek,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"US engineering staffing firm, H-1B compliance pain, Eastern-time reachable, but no named leadership publicly — low-effort cold sequence only","MEDIUM (likely owner-operated from Farmington Hills MI, but zero named leadership anywhere — opaque)",
39,Rpo Hire Recruitment Process Outsourcing Services,56,rpohire.com,,Texas,McKinney,6800 Weiskopf Ave Ste 150,75070,Staffing and Recruiting,250549.0,https://www.linkedin.com/company/rpo-hire-services,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,Mostly offshore India RPO shop; McKinney TX is a small front office,"LOW (India-based operation, TX front office)",
40,Stock Value,52,stockvalue.org,,Alabama,Birmingham,,,Financial Services,40954131.0,https://www.linkedin.com/company/stock-value,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"Phantom LinkedIn entity — HQ address is an apartment complex, website dead, no real employees",,
41,International Space Station National Laboratory,53,issnationallab.org,,Florida,Melbourne,,,Research Services,5232775.0,https://www.linkedin.com/company/issnationallab,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,"Real nonprofit (CASIS) with named HR Director, but zero open roles, federal funding scrutiny, ISS deorbit ~2030 sunset","HIGH (FL, named US HR Director)",
42,Coranet,53,coranet.com,,New York,New York,Washington Street,10004,IT Services and IT Consulting,85698.0,https://www.linkedin.com/company/coranet-corp,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),STRONG,"Woman-owned IT integrator operating in all 50 states, multi-state field technicians, 4x Inc 5000, hiring, new CFO = fresh economic buyer","HIGH (NYC leadership, US field staff)",NO HR TITLE - CFO Cathy Cammarano owns comp/benefits; Barbara Kohl admin/HR
43,Olon Ricerca Bioscience,204,olonricerca.com,,Ohio,Painesville,,,Pharmaceutical Manufacturing,47580.0,https://www.linkedin.com/company/olon-ricerca-bioscience,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Now Olon USA LLC; OH expansion, hiring HR Manager + HR Generalist NOW = HRIS evaluation moment; pitch Okleson (owns Finance/IT/HR) and Thayer in Eastern time; Milan parent mandate is only risk","HIGH (named US buyers: Monica Thayer HR Director + Dorothie Okleson VP Finance, both Concord OH; hiring HR Manager AND HR Generalist now)","YES - Monica Thayer (HR Dir) + Dorothie Okleson (VP Fin, owns HR/IT), Concord OH"
44,Remington Medical,132,remmed.com,,Georgia,Alpharetta,6830 Meadowridge Court,30005,Medical Equipment Manufacturing,322706.0,https://www.linkedin.com/company/remington-medical-inc,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"US medical device maker, 132 EE across US+Asia, new FDA clearance + award momentum; no visible buying trigger",HIGH (Alpharetta GA leadership),"YES - Kelly Rawlins, Dir HR (CEO-direct) + Kim Sullivan, HR Generalist"
45,Gwynnie Bee,51,gwynniebee.com,,New York,New York,5 Pennsylvania Plaza,10001,Technology Information and Internet,3066196.0,https://www.linkedin.com/company/gwynnie-bee,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Parent CaaStle in Chapter 7 liquidation after $300M fraud; founder pled guilty Mar 2026,,
46,Capitol Forum,50,thecapitolforum.com,,District of Columbia,Washington,1629 K Street Northwest,20006,Internet News,2774101.0,https://www.linkedin.com/company/the-capitol-forum,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Bootstrapped DC investigative-news publisher; revenue $7.5M→$11.2M, ~7 open roles, likely no dedicated HR team",HIGH (DC leadership),"YES - Susan Gravatt, Dir Recruiting (company site); CFO Trevor Baine"
47,Vivanti Consulting,143,vivanti.com,,New York,New York,,,IT Services and IT Consulting,76186518.0,https://www.linkedin.com/company/vivanti-consulting/,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,"DOWNGRADED: despite NY HQ, CEO Tony Nicol sits in Sydney and open HR roles are in Bengaluru — HRIS decision made across Sydney/India timezones; route to APAC or deprioritize","LOW (CEO in Sydney; HR/People team being built in Bengaluru, India; US offices are delivery sites)",
48,Erbe USA,144,www.erbe-usa.com,,Georgia,Atlanta,2225 Northwest Pkwy,30067,Medical Equipment Manufacturing,696710.0,https://www.linkedin.com/company/erbe-usa-inc.,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),STRONG,"US arm of German medtech Erbe; autonomous US HR with VP HR on site; ~144 EE, nationwide field sales = multi-state payroll",HIGH (Atlanta exec team + VP HR),"YES - Derrick Roy SPHR, VP of HR, Atlanta (LinkedIn+RocketReach+Adapt, in role since 2021)"
49,Dental Medical Careers,135,dental-careers.com,,Texas,Frisco,,,Staffing and Recruiting,55174840.0,https://www.linkedin.com/company/dental-careers-inc,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Real headcount 1-10 (135 is LinkedIn staffing-firm noise); boutique recruiting shop,HIGH but irrelevant,
50,LVLY,51,lvly.tv,,New York,New York,575 Lexington Avenue,10022,Advertising Services,2683262.0,https://www.linkedin.com/company/wearelvly,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Independent NYC creative studio (3 brands), ~$11M rev, new President Cara Cutrone = tooling re-eval window; freelancer-heavy = contractor payments angle",HIGH (NYC/Brooklyn),NO HR TITLE - President Cara Cutrone (Brooklyn) or Owner/CEO Ethel Rubinstein
51,Illume Advising,51,illumeadvising.com,,Wisconsin,Madison,440 Science Dr,53711,Research Services,4835533.0,https://www.linkedin.com/company/illume-advising-llc,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Acquired by E Source (PE-backed) May 2025; HR consolidating to parent in Boulder CO,—,
52,mKonnekt,51,mkonnekt.com,,Texas,Irving,9135 Oleander Way,75063,Software Development,13358770.0,https://www.linkedin.com/company/mkonnekt,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,Founder in Dallas but dev workforce in Hyderabad; US W-2 count likely <20,"MEDIUM (CEO US, org India)",NONE - CEO Seshu Madabushi owns decisions
53,Blue Coding,60,bluecoding.com,,Florida,Miami,"4177, 2250 Northwest 114th Avenue",33172,Software Development,10566860.0,https://www.linkedin.com/company/blue-coding-llc,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,Miami legal shell over Santo Domingo DR nearshore staffing op; near-zero US payroll,LOW-MEDIUM,Talent person likely DR-based; CEO David Hemmat Miami (partially verified)
54,Winona IT,62,winonait.com,,Indiana,Warsaw,109 East Prairie Street,46580,IT Services and IT Consulting,19011482.0,https://www.linkedin.com/company/winonait,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Real Northern Indiana MSP, hiring, in-house application forms = no ATS/HRIS incumbent; caveat LinkedIn says 11-50 EE",HIGH (Warsaw IN),"NO HR TITLE - Michelle Hazelton, Office Project Mgr; owner Michael Pahl"
55,Nyu Mcsilver Institute,64,mcsilver.nyu.edu,,New York,New York,,,Research Services,5192962.0,https://www.linkedin.com/company/nyumcsilver,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,Research institute inside NYU; HR/payroll runs through NYU central (Workday),—,
56,Its Internet Travel Solutions,65,its.com,,Texas,Dallas,"801 E Campbell Rd, Ste 320",75081,Software Development,29017500.0,https://www.linkedin.com/company/its-internet-travel-solutions,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Real Dallas corporate-travel tech firm (TripEasy), Travel Weekly Power List, US exec team; soft hiring signal",HIGH (Dallas exec team),NO HR TITLE - CFO Jennifer Lichner + SVP Ops Janet Rickman (company site)
57,High Alpha Innovation - Customer,64,highalphainno.com,,Indiana,,,46204,Venture Capital and Private Equity Principals,64936975.0,https://www.linkedin.com/company/hainnovation,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),STRONG,Rebranded to ALLOY PARTNERS Mar 2025; venture builder spinning up new entities constantly = multi-entity payroll/IT from day one; CPO relationship could cascade to portfolio cos,HIGH (Indianapolis leadership),"YES - Melanie Kruger, Chief People Officer (LinkedIn+TheOrg+company team page)"
58,Bpo Solutions 24x7,68,bposolutions24x7.net,,New Jersey,New Milford,,,Telecommunications,2730247.0,https://www.linkedin.com/company/bpo-solutions-24x7,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"Shell: residential NJ address, offshore call-center broker network in 27 countries, website refusing connections",LOW,
59,Proof Media Mix,83,proofmediamix.com,,Kentucky,Louisville,6105 Strawberry Lane,40214,Marketing Services,64642349.0,https://www.linkedin.com/company/proof-media-mix,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),STRONG,"Independent experiential marketing agency, ~$17M rev, 83 EE across KY/NY/Denver + event-staff churn = multi-state + onboarding pain; no entrenched HRIS visible",HIGH (US offices),"YES - Valerie Corcoran, Director HR & Admin Ops, Metairie LA (ZoomInfo x2 w/ company email; verify)"
60,Beesion,76,beesion.com,,Florida,Fort Lauderdale,"501 E Las Olas Blvd., Suite 200/300",33301,Information Services,369056.0,https://www.linkedin.com/company/beesion-technologies-llc-,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,Real telecom BSS vendor but workforce across 5 LatAm tech centers; US payroll likely <15; no HR contact found,"MEDIUM (CEO/COO Fort Lauderdale, workforce LatAm)",NONE - fallback COO Roberto Quiroga
61,Precision Contracting Services,69,pcsfiber.com,,Florida,Jupiter,Guild Court,33478,IT Services and IT Consulting,8591523.0,https://www.linkedin.com/company/pcsfiber,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),STRONG,Fiber-optic contractor since 1990; ~69 EE across 6 offices in FL+NC; hourly field workforce = time-tracking/payroll pain; hiring; low-tech HR stack likely,HIGH (Jupiter FL leadership),"YES - Emily Phillips, HR Manager (LinkedIn: owns recruiting/onboarding/benefits/payroll/compliance)"
62,Dvsport,154,dvsport.com,,Pennsylvania,Pittsburgh,1 Penn Center West,15276,Software Development,2009602.0,https://www.linkedin.com/company/dvsport-inc.,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Emmy-winning sports replay software (ESPN, Genius Sports partner); core staff 45-81 + seasonal multi-state stadium techs = onboarding/multi-state tax pain; Glassdoor 2.4 caveat",HIGH (Pittsburgh founder-led),NONE FOUND - route via CEO/founder Brian Lowe
63,Clarium,154,clarium.tech,,Florida,Pembroke Pines,1000 North Hiatus Road,33026,Data Security Software Products,2052643.0,https://www.linkedin.com/company/clarium-managed-services,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"US shell over Chennai delivery org (Clarium Tech Pvt Ltd, T. Nagar); 154 EE mostly offshore",LOW,
64,Ikcon Technologies,104,ikcontech.com,,New Jersey,South Plainfield,51 Cragwood Road,7080,Software Development,33518940.0,https://www.linkedin.com/company/ikcon-technologies-inc1,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"H-1B body shop, NJ front + Hyderabad office; HR team sits in Hyderabad",LOW,
65,Delphi-US,103,delphi-us.com,,Rhode Island,Newport,360 Thames St,2840,IT Services and IT Consulting,936832.0,https://www.linkedin.com/company/delphi-us-llc,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Real Newport RI staffing firm, revenue +26% to $19.3M; ~47 real EE + W-2 contract consultants across many states = contractor payroll pitch",HIGH (Newport RI founders),NO HR TITLE - Managing Partner Sean Condon; Chief Delivery Officer Rich Braun
66,WalletHub,101,wallethub.com,,Florida,Washington,818 18th Street Northwest,20006,Technology Information and Internet,2580086.0,https://www.linkedin.com/company/wallethub,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,"Real (Evolution Finance, Miami HQ) but workforce on 5 continents and HR Director (Cristina Brait) sits in Romania","LOW-MEDIUM (CEO Miami, HR Romania)",HR Director in Romania - US fallback CEO Odysseas Papadimitriou
67,Concept,100,conceptltd.com,,Ohio,Cleveland,,44321,Business Consulting and Services,141105.0,https://www.linkedin.com/in/jerrod-workman-aba7863b/,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),GOOD,"Real Medina OH B2B sales-development firm (100+ EE, single state, Top Workplaces 2023); high SDR churn = onboarding pain; correct LinkedIn is /company/concept-services",HIGH (Ohio leadership),NO HR NAME FOUND - founder/CEO Dan Harsh + Jeff Harsh; pull HR name from paid database
68,One Equity Partners,117,oneequity.com,,New York,New York,"510 Madison Avenue, 19th Floor,",10022,Investment Management,47363.0,https://www.linkedin.com/company/one-equity-partners,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),WEAK,Real PE firm (~$10B AUM) but only ~64 US staff + Frankfurt/Amsterdam offices; better as portfolio-referral relationship,HIGH (NY/Chicago),"NO HR HEAD - Erin Quinn, Partner & CFO (NY)"
69,Kudu Dynamics,115,kududyn.com,,Virginia,Chantilly,14425 Penrose Place,20151,Data Security Software Products,3527553.0,https://www.linkedin.com/company/kudu-dynamics-llc,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"Acquired by Leidos for $300M cash, closed May 2025; absorbed into 43k-EE enterprise (Workday)",—,
70,NCT,148,nationalcabletechs.com,,North Carolina,Charlotte,,,Telecommunications,1138004.0,https://www.linkedin.com/company/nct,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,"Likely defunct: domain dead, Indeed reviews say owner lost the business; 148 EE unsubstantiated",—,
71,Sree Infotech,156,sreeinfotech.com,,Texas,Irving,1825 West Walnut Hill Lane,75038,IT Services and IT Consulting,823961.0,https://www.linkedin.com/company/sree-infotech-llc,Tier 2,40,30,14.0,10,94.0,X - Disqualified (verified stale/acquired),DISQUALIFY,India-linked H-1B staffing shop (82 LCAs FY22-24); real internal staff ~10-20; CRM 156 EE inflated,MEDIUM at best,
72,Adrenaline Agency,216,adrenalineagency.com,,Georgia,Atlanta,3405 Piedmont Road Northeast #300,30305,Design Services,570421.0,https://www.linkedin.com/company/adrenalinex,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),,,,
73,Vsa Partners,125,vsapartners.com,,Illinois,Chicago,"600 W Chicago Ave, Ste 250",60654,Design Services,17358.0,https://www.linkedin.com/company/vsa-partners,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),,,,
74,Kodeco,139,kodeco.com,,Virginia,McGaheysville,1882 Hawksbill Rd,22840,E-Learning Providers,2590045.0,https://www.linkedin.com/company/kodecodev,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),,,,
75,IKONIC,100,ikonicsolution.com,,Florida,Chicago,,,Information Services,81715808.0,https://www.linkedin.com/company/ikonicllc,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),,,,
76,QEO Insurance Group,104,qeo.com,,Texas,Irving,5215 North O'Connor Boulevard,75039,Insurance,4815523.0,https://www.linkedin.com/company/qeo-insurance,Tier 2,40,30,14.0,10,94.0,A - Hot (contact first),,,,
